step,performance,entropy,output length
1,5.125,0.6346043583471328,331.796875
2,5.41796875,0.6095418641343713,311.453125
3,4.78125,0.5491024949587882,364.0390625
4,5.578125,0.6063505224883556,262.9375
5,5.66015625,0.575946333585307,322.9921875
6,5.3515625,0.6103094501886517,282.953125
7,5.98828125,0.5756881567649543,250.2578125
8,7.20703125,0.6059879092499614,203.3046875
9,7.34765625,0.5848511434160173,198.6875
10,7.171875,0.5772523838095367,188.90625
11,6.40625,0.5720023056492209,193.0078125
12,7.60546875,0.6142497267574072,173.6328125
13,7.3828125,0.551172524690628,179.484375
14,7.5859375,0.5173028646968305,190.2109375
15,7.72265625,0.46977400220930576,180.78125
16,7.5234375,0.47288679983466864,173.890625
17,8.05078125,0.4645190086448565,175.1640625
18,7.96875,0.4963797715026885,174.7734375
19,7.16796875,0.49066427256911993,170.875
20,7.94140625,0.4801469803787768,172.109375
21,7.2890625,0.47448197612538934,173.5234375
22,8.00390625,0.4523824811913073,151.1171875
23,7.5625,0.4489057590253651,164.546875
24,8.6640625,0.4636632823385298,146.1484375
25,8.37109375,0.42555060936138034,161.2578125
26,8.03515625,0.4251672960817814,164.1875
27,8.19921875,0.41579263377934694,159.84375
28,8.9375,0.36337058153003454,152.953125
29,8.3515625,0.38630107673816383,165.1953125
30,8.296875,0.3744980935007334,164.6640625
31,9.05078125,0.3749337578192353,153.234375
32,8.43359375,0.36503451061435044,164.140625
33,8.609375,0.33136235014535487,160.21875
34,9.10546875,0.32542613125406206,151.953125
35,9.3984375,0.31833563605323434,149.9609375
36,8.41015625,0.29463874618522823,159.3125
37,8.9765625,0.28815935435704887,158.71875
38,8.51953125,0.2664080255199224,162.4296875
39,8.84375,0.2870672233402729,163.625
40,8.52734375,0.24702035554219037,176.0859375
41,8.8984375,0.2409420812036842,164.7421875
42,8.53515625,0.28604782465845346,172.8359375
43,8.21875,0.2730106401722878,175.8203125
44,8.71875,0.25161090516485274,172.8984375
45,8.4140625,0.23461495735682547,186.75
46,9.15625,0.24034716724418104,155.4375
47,8.38671875,0.22810569824650884,178.03125
48,8.7109375,0.21517705591395497,166.4453125
49,7.8125,0.21050925983581692,211.6796875
50,8.3515625,0.21539700648281723,178.9375
51,8.05859375,0.20713911997154355,166.5234375
52,8.94921875,0.19576990115456283,155.9296875
53,8.515625,0.17949750227853656,157.0625
54,8.42578125,0.1953462678939104,160.0859375
55,8.7578125,0.17953831073828042,157.0078125
56,9.16796875,0.19262504624202847,148.3671875
57,9.46875,0.1720660573337227,144.7421875
58,8.16796875,0.16558877774514258,172.4453125
59,8.9921875,0.15792481775861233,155.3203125
60,9.08203125,0.19134093448519707,153.1640625
61,9.21875,0.18922639871016145,147.9375
62,9.7890625,0.1743851867504418,142.140625
63,9.328125,0.16139005892910063,152.4296875
64,9.76953125,0.15380129613913596,143.9375
65,9.85546875,0.18742334563285112,141.5
66,9.8671875,0.1631993429036811,139.46875
67,10.125,0.13241672131698579,151.5546875
68,9.71484375,0.15033912402577698,150.8359375
69,9.83203125,0.15973779920022935,140.46875
70,10.12890625,0.1453522127121687,144.96875
71,10.234375,0.13425519200973213,139.5390625
